,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Kapaa,40,US,1563337596,74,22.08,-159.32,28,7.7
1,Katsuura,75,JP,1563337623,83,33.93,134.5,29,4.6
2,Avera,40,US,1563337623,88,33.19,-82.53,30,1.79
3,Coihaique,100,CL,1563337159,94,-45.58,-72.07,0,2.1
4,Erzin,0,TR,1563337624,73,36.95,36.2,25,5.1
5,Castro,90,CL,1563337161,100,-42.48,-73.76,9,5.1
6,Orlik,75,PL,1563337624,93,53.95,17.74,13.33,4.6
7,Rikitea,13,PF,1563337160,74,-23.12,-134.97,22.4,3.75
8,Cidreira,5,BR,1563337624,96,-30.17,-50.22,9.4,2.5
9,Khatanga,8,RU,1563337624,52,71.98,102.47,14.4,4.63
10,Otautau,62,NZ,1563337624,88,-46.14,168,6.67,3.13
11,New Norfolk,75,AU,1563337160,54,-42.78,147.06,13.33,8.2
12,Oruro,87,BO,1563337625,40,-17.97,-67.11,6.5,3.42
13,Mataura,42,NZ,1563337159,88,-46.19,168.86,6.67,3.13
14,Inhambane,20,MZ,1563337625,100,-23.87,35.38,12,0.83
15,Victoria,75,BN,1563337159,74,5.28,115.24,32,2.6
16,College,20,US,1563337625,59,64.86,-147.8,19.44,1.5
17,Ushuaia,20,AR,1563337422,64,-54.81,-68.31,3,2.6
19,Qaanaaq,73,GL,1563337625,61,77.48,-69.36,6.5,0.34
20,Barrow,76,AR,1563337625,62,-38.31,-60.23,10.1,7.34
22,Lebu,75,ET,1563337626,87,8.96,38.73,14,1
23,Riyadh,0,SA,1563337626,15,24.63,46.72,30,2.6
24,Hobart,75,AU,1563337617,58,-42.88,147.33,13.33,7.7
25,Khoy,0,IR,1563337626,52,38.55,44.95,13.6,2.08
26,Barra Patuca,1,HN,1563337626,77,15.8,-84.28,28.5,8.7
28,Thompson,75,CA,1563337626,82,55.74,-97.86,14,0.5
30,Port Alfred,0,ZA,1563337160,52,-33.59,26.89,15,0.45
31,Corinto,40,CO,1563337627,88,3.17,-76.26,21,2.1
32,Tavda,2,RU,1563337627,63,58.04,65.27,17.1,4.47
33,Tuatapere,88,NZ,1563337627,88,-46.13,167.69,6.67,3.13
35,Mahebourg,40,MU,1563337468,68,-20.41,57.7,22.22,7.2
36,Punta Arenas,20,CL,1563337158,86,-53.16,-70.91,1.67,3.1
37,Komsomolskiy,2,RU,1563337627,60,67.55,63.78,23.6,5.29
38,Vardo,20,US,1563337627,94,39.62,-77.74,27.78,0.51
39,Hofn,100,IS,1563337627,98,64.25,-15.21,4.9,1.2
42,Palaikastron,4,GR,1563337628,76,35.2,26.25,22.78,3.58
43,Fortuna,90,US,1563337555,87,40.6,-124.16,17.78,5.1
44,Mar del Plata,0,AR,1563337560,68,-46.43,-67.52,2.2,1.98
45,Santiago del Estero,50,AR,1563337628,57,-27.8,-64.26,17.1,4.59
46,Cabo San Lucas,20,MX,1563337496,48,22.89,-109.91,28.33,2.6
47,Ahuimanu,75,US,1563337628,88,21.44,-157.84,30,5.1
48,Ati,34,TD,1563337628,42,13.21,18.34,30.4,3.1
49,Ngunguru,31,NZ,1563337629,66,-35.62,174.5,15,3.58
50,Puerto Ayora,45,EC,1563337161,95,-0.74,-90.35,20.56,3.13
51,Busselton,0,AU,1563337161,46,-33.64,115.35,20,7.51
52,Whitianga,58,NZ,1563337629,81,-36.83,175.7,13.33,1.79
54,Flinders,0,AU,1563337629,38,-34.58,150.85,18.89,9.8
55,Ayacucho,91,PE,1563337629,90,-13.16,-74.23,5.5,1.2
56,Baykit,79,RU,1563337629,47,61.68,96.39,25.2,3.91
57,Saint-Philippe,90,CA,1563337163,65,45.36,-73.48,27.22,8.2
58,Chuy,3,UY,1563337629,89,-33.69,-53.46,9.3,1.45
59,Dzaoudzi,40,YT,1563337630,73,-12.79,45.27,25,7.7
60,Mitsamiouli,20,KM,1563337630,69,-11.38,43.28,24,4.6
61,Hilo,90,US,1563337630,78,19.71,-155.08,26.67,3.1
62,Thinadhoo,93,MV,1563337630,79,0.53,72.93,27.4,10.83
64,Port Lincoln,88,AU,1563337630,76,-34.72,135.86,13.3,9.27
65,Bredasdorp,67,ZA,1563337631,93,-34.53,20.04,9,2.6
66,Takoradi,85,GH,1563337631,96,4.89,-1.75,22.4,1.47
68,Beloha,0,MG,1563337631,66,-25.17,45.06,16.8,3.05
69,Sabang,100,PH,1563337631,90,13.8,121.11,26.1,5.95
70,Butaritari,100,KI,1563337631,61,3.07,172.79,28.8,2.18
72,Iqaluit,75,CA,1563337631,87,63.75,-68.52,6,1
73,Bethlehem,20,US,1563337632,100,40.62,-75.38,25.56,4.48
74,Kishapu,94,TZ,1563337632,62,-3.61,33.87,19,6.95
76,Ribeira Grande,0,PT,1563337632,70,38.52,-28.7,21.5,3.42
77,Cape Town,75,ZA,1563337632,87,-33.93,18.42,13.89,6.7
80,Albany,1,US,1563337076,100,42.65,-73.75,25.56,2.6
81,Faya,5,SA,1563337632,40,18.39,42.45,26,0.55
82,Ambulu,0,ID,1563337632,86,-8.35,113.61,23.2,7.12
83,Margate,75,AU,1563337633,58,-43.03,147.26,13.33,7.7
84,Avarua,18,CK,1563337492,60,-21.21,-159.78,23,4.1
85,Yellowknife,40,CA,1563337633,63,62.45,-114.38,18,3.6
86,Labuhan,24,ID,1563337633,50,-2.54,115.51,31.1,0.71
87,Samborondon,0,EC,1563337633,78,-2.27,-79.59,23,5.7
88,Isangel,75,VU,1563337633,57,-19.55,169.27,24,4.1
89,Bluff,0,AU,1563337160,37,-23.58,149.07,19.9,1.07
90,Mount Gambier,75,AU,1563337633,93,-37.83,140.78,11,7.7
91,Portland,1,US,1563337634,77,43.66,-70.25,22.22,3.5
92,Fort Frances,90,CA,1563337634,93,48.61,-93.4,18,2.13
93,Souillac,0,FR,1563337634,77,45.6,-0.6,17.22,0.5
94,Menongue,0,AO,1563337634,50,-14.66,17.68,8.3,1.58
95,Caiaponia,40,BR,1563337634,80,-16.96,-51.81,17.8,2.31
96,Arraial do Cabo,40,BR,1563337634,67,-22.97,-42.02,19.3,10.52
97,Severo-Kurilsk,100,RU,1563337161,96,50.68,156.12,6.9,6.09
98,Mahibadhoo,64,MV,1563337634,72,3.78,72.97,28.4,6.94
99,Ilulissat,0,GL,1563337635,65,69.22,-51.1,8,1.5
100,Coquimbo,20,CL,1563337635,93,-29.95,-71.34,8.89,3.6
101,Atuona,27,PF,1563337635,77,-9.8,-139.03,27,6.25
102,Muros,75,ES,1563337635,87,42.77,-9.06,18.33,4.6
103,Bulungu,0,CD,1563337635,86,-4.54,18.6,22.3,1.04
104,Cuamba,30,MZ,1563337635,95,-14.8,36.54,11.7,1.05
105,Alofi,65,NU,1563337636,88,-19.06,-169.92,25,4.1
106,Abha,5,SA,1563337636,40,18.22,42.5,26,2.21
107,Sitka,30,US,1563337636,34,37.17,-99.65,30.3,6.76
108,Puro,100,PH,1563337636,81,13.13,123.76,28,12.97
109,Hambantota,40,LK,1563337636,74,6.12,81.12,31,6.7
110,Ahtopol,0,BG,1563337636,77,42.1,27.94,19.44,1.5
111,Nicolas Bravo,75,MX,1563337637,82,24.39,-104.74,18.33,1.5
112,Tambo,91,PE,1563337637,90,-12.95,-74.02,5.5,1.2
113,Algiers,40,US,1563337637,94,29.94,-90.04,28.33,3.1
114,Paso de los Toros,0,UY,1563337637,84,-32.81,-56.52,6.2,3.5
115,Hermanus,93,ZA,1563337637,94,-34.42,19.24,12.22,9.56
116,Grindavik,75,IS,1563337637,100,63.84,-22.43,12,1.5
117,Ambilobe,4,MG,1563337637,71,-13.19,49.05,20.3,3.88
118,Hovd,40,NO,1563337638,93,63.83,10.7,12.22,0.5
119,Serrinha,0,BR,1563337638,96,-11.66,-39,17.1,2.21
120,Krutinka,67,RU,1563337638,89,56.01,71.51,17.1,6.47
